,mean,std
area,2.349449192132924,3.117185537263304
volume,0.037720015905970655,0.057388809804852184
compactness,2578230.803696088,109629577.01114136
rectangularity,0.15523809497271696,0.1550274192724098
convexity,0.3161804598053876,0.25697437330757655
diameter,1.055603797188358,0.08007174225915897
eccentricity,132.4838884021288,1306.8460334547808
