,std
area,3.1772097255227476
volume,0.12175698193165288
compactness,6.10514605463828e+34
rectangularity,0.34813696564247715
convexity,0.6491549891042349
diameter,0.07988088910527154
eccentricity,1357.809646257921
A3_0,0.023441416388184644
A3_1,0.016557012758855755
A3_2,0.013335040548501825
A3_3,0.011022208662197969
A3_4,0.009337841597563578
A3_5,0.008031760971999528
A3_6,0.006949565907369329
A3_7,0.0061599105578421
A3_8,0.005449308196235292
A3_9,0.004820935594684264
A3_10,0.004414092093756203
A3_11,0.004045081033344073
A3_12,0.003815865976955425
A3_13,0.003768307547665914
A3_14,0.0036935732874013986
A3_15,0.0036809922676114856
A3_16,0.003872607459166043
A3_17,0.0037499777013941522
A3_18,0.0038700050114182745
A3_19,0.0040358359758153346
A3_20,0.0040314361990707575
A3_21,0.004163567396568558
A3_22,0.004178831680497298
A3_23,0.004370831528407679
A3_24,0.005064457177823741
A3_25,0.005295084188073719
A3_26,0.004696809513406445
A3_27,0.004458426912674675
A3_28,0.004439289086692659
A3_29,0.004331849921488717
A3_30,0.004209908702591844
A3_31,0.004153242645041864
A3_32,0.004039774095817464
A3_33,0.0040360171015300485
A3_34,0.0038726390913479125
A3_35,0.0037681053553119343
A3_36,0.003785005763103433
A3_37,0.0035950434411427495
A3_38,0.003559410046639687
A3_39,0.00345195438511161
A3_40,0.003371588348101772
A3_41,0.0033157211781783646
A3_42,0.0033606937418724785
A3_43,0.003175352682865057
A3_44,0.0031120710989840142
A3_45,0.003094642469737131
A3_46,0.0031875909659420673
A3_47,0.003286335976629721
A3_48,0.0037246400592405382
A3_49,0.005448906877346466
A3_50,0.004591989490498869
A3_51,0.0030488262753382927
A3_52,0.002391026114294337
A3_53,0.00206062424211167
A3_54,0.0018175507559301369
A3_55,0.001690508374053677
A3_56,0.0015532445937015877
A3_57,0.0014626742078927334
A3_58,0.0013546522187225449
A3_59,0.0012931517318533474
A3_60,0.0012269550218219614
A3_61,0.0011785512655637848
A3_62,0.0011611211580785084
A3_63,0.001106245558158721
A3_64,0.0010695052853942567
A3_65,0.001069429233498991
A3_66,0.0010469249070336065
A3_67,0.001034651257714091
A3_68,0.0010439890975276365
A3_69,0.0010566214956130586
A3_70,0.0010926126551641935
A3_71,0.0011489788064780848
A3_72,0.0011882495574733654
A3_73,0.0012403373521967386
A3_74,0.0012847868244786798
A3_75,0.0013394759387858751
A3_76,0.001429894223204167
A3_77,0.001484776000448108
A3_78,0.0015449486602650724
A3_79,0.0016193175532606848
A3_80,0.001687319238972954
A3_81,0.00176611985903603
A3_82,0.0018521772610245236
A3_83,0.001910229184499091
A3_84,0.0019796209827592673
A3_85,0.002037617972342561
A3_86,0.0020979527701054383
A3_87,0.0021555846062266924
A3_88,0.0022357849221357083
A3_89,0.0022938014473025256
A3_90,0.0023436080117189236
A3_91,0.002416427709726205
A3_92,0.002467096944004244
A3_93,0.0025200726959373077
A3_94,0.002567426163711516
A3_95,0.002629637479085123
A3_96,0.002667047219721852
A3_97,0.002616181751031362
A3_98,0.0024711630991146225
A3_99,0.001977430676284389
D1_0,0.041653596744198655
D1_1,0.06998732247957844
D1_2,0.08146748454665882
D1_3,0.08346452144186896
D1_4,0.07594320140234005
D1_5,0.06831249363287194
D1_6,0.06265988793952236
D1_7,0.05945248975389081
D1_8,0.0637848574800793
D1_9,0.05793771552873448
D1_10,0.060435232076637306
D1_11,0.0580295208995623
D1_12,0.05498454292314245
D1_13,0.05315218104784302
D1_14,0.05404020920228136
D1_15,0.04868566909689418
D1_16,0.04429784324050243
D1_17,0.03580141336676112
D1_18,0.03655608165407622
D1_19,0.023073887997272224
D1_20,0.014419677419107997
D1_21,0.009902251114723861
D1_22,0.007642644507061747
D1_23,0.007231002972684651
D1_24,0.007668175163529442
D1_25,0.0053298480262130785
D1_26,0.0022728596478625825
D1_27,0.0007357949901170867
D1_28,0.0008663362388463376
D1_29,7.268743639283581e-05
D2_0,0.02364046882155652
D2_1,0.017042590354469273
D2_2,0.018039701419019807
D2_3,0.015161244365357554
D2_4,0.014183235878848875
D2_5,0.013687143517122056
D2_6,0.012766625689331332
D2_7,0.012445686429990069
D2_8,0.011839041103194071
D2_9,0.01126514714407953
D2_10,0.010985640323796873
D2_11,0.010542695590515034
D2_12,0.010343342995187337
D2_13,0.010403183337441845
D2_14,0.010092814762924724
D2_15,0.01008199518344657
D2_16,0.00893290761008021
D2_17,0.008719659829438722
D2_18,0.008866348553354504
D2_19,0.008372462990852887
D2_20,0.008164346945123933
D2_21,0.00826329711900225
D2_22,0.00824556705613003
D2_23,0.00871008651744388
D2_24,0.008400958849401553
D2_25,0.008830415524209918
D2_26,0.00784567898791902
D2_27,0.007307729749958228
D2_28,0.007171483661932759
D2_29,0.006997763638604027
D2_30,0.0071533654054002725
D2_31,0.007140464145019478
D2_32,0.008854089437123297
D2_33,0.00787178207277627
D2_34,0.007228157510505693
D2_35,0.006955078260769856
D2_36,0.006917100116648359
D2_37,0.007524905030480191
D2_38,0.007023694178023493
D2_39,0.006980132343818106
D2_40,0.007196207684887814
D2_41,0.006495832055934188
D2_42,0.006600682394461489
D2_43,0.0065414154530948196
D2_44,0.00694243905187138
